TEAM,CONF,YEAR,POSTSEASON,SEED,G,W,WIN_PCT,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,TWOP_O,TWOP_D,THREEP_O,THREEP_D,ADJ_T,WAB,WIN_PCT_RANK,ADJOE_RANK,ADJDE_RANK,BARTHAG_RANK,EFG_O_RANK,EFG_D_RANK,TOR_RANK,TORD_RANK,ORB_RANK,DRB_RANK,FTR_RANK,FTRD_RANK,TWOP_O_RANK,TWOP_D_RANK,THREEP_O_RANK,THREEP_D_RANK,ADJ_T_RANK,WAB_RANK
Wake Forest,ACC,2015,NA,NA,32,13,0.40625,104.8,98.1,0.6826,47.8,50.9,19.3,17.1,31.8,26.4,41.5,35.2,46.5,51.1,33.6,33.8,68.7,-5.7,0.325,0.671,0.732,0.722,0.351,0.298,0.472,0.177,0.597,0.057,0.82,0.598,0.34,0.183,0.431,0.572,0.934,0.622
Binghamton,AE,2015,NA,NA,30,5,0.166666667,91.4,109.2,0.1151,44.6,52.3,21.6,20.4,26.2,32.5,39.8,33.8,43.9,49.8,30.6,37.5,63.6,-19.3,0.025,0.062,0.146,0.068,0.071,0.169,0.118,0.745,0.111,0.691,0.711,0.695,0.1,0.292,0.111,0.132,0.277,0.034
Hartford,AE,2015,NA,NA,29,13,0.448275862,95.2,105.4,0.2371,47.3,50.4,19,20.9,25.3,29.5,29.8,42.1,46,52,32.5,31.6,63.8,-11.2,0.411,0.148,0.346,0.18,0.294,0.358,0.532,0.808,0.068,0.282,0.042,0.22,0.282,0.095,0.294,0.866,0.311,0.34
Maine,AE,2015,NA,NA,30,3,0.1,92.3,113.3,0.0863,46.7,55.8,21.6,19,23.5,31.7,27.7,36.6,45.5,55.6,32.6,37.4,66.6,-20.9,0.011,0.088,0.04,0.025,0.225,0,0.118,0.508,0.045,0.585,0.011,0.509,0.22,0.003,0.305,0.146,0.742,0.014
New Hampshire,AE,2015,NA,NA,30,17,0.566666667,98.4,101,0.4249,49.7,46,18.7,17.1,27.2,23.7,36.1,42.6,45.9,45.6,37.4,31.1,64.2,-8.1,0.642,0.291,0.595,0.445,0.614,0.846,0.603,0.177,0.154,0.002,0.437,0.178,0.271,0.752,0.848,0.915,0.411,0.517
Stony Brook,AE,2015,NA,NA,33,21,0.636363636,99.9,98.1,0.5521,46,46,18.6,17.7,37.1,25.4,32.4,32.2,45.1,43,32.1,34.3,64.5,-4.8,0.774,0.368,0.732,0.597,0.151,0.846,0.623,0.257,0.951,0.028,0.162,0.798,0.188,0.94,0.245,0.5,0.442,0.674
UMass Lowell,AE,2015,NA,NA,28,11,0.392857143,91.6,107.2,0.1412,47.9,53.9,20.5,23.3,21.6,30.4,34.3,34.1,44.6,54.1,34.9,35.8,64.1,-11.8,0.291,0.071,0.243,0.091,0.365,0.046,0.229,0.965,0.014,0.371,0.294,0.669,0.16,0.023,0.588,0.3,0.377,0.3
UMBC,AE,2015,NA,NA,30,4,0.133333333,87,108.6,0.0727,46.3,51.2,24.1,19.7,23.5,30.5,37.2,33,45,49.6,32.6,36.1,65.1,-20.7,0.017,0.011,0.169,0.014,0.185,0.263,0.018,0.617,0.045,0.397,0.534,0.76,0.18,0.32,0.305,0.263,0.537,0.02
Vermont,AE,2015,NA,NA,33,19,0.575757576,100.7,97.6,0.5879,51.9,43.4,20.1,20.1,26.7,29,42.4,40.4,51.7,42.2,34.9,30.9,64.7,-9,0.657,0.414,0.758,0.622,0.811,0.986,0.32,0.677,0.128,0.217,0.865,0.318,0.877,0.978,0.588,0.929,0.471,0.44
Connecticut,Amer,2015,NA,NA,35,20,0.571428571,105.3,97.4,0.7109,50,45.2,18.6,17.9,30.2,30.5,32.3,32.6,48.4,42.8,35.4,33.2,62.5,-3.3,0.648,0.694,0.766,0.757,0.665,0.926,0.623,0.285,0.442,0.397,0.157,0.778,0.602,0.949,0.665,0.68,0.157,0.748
East Carolina,Amer,2015,NA,NA,31,12,0.387096774,102.2,106.1,0.393,48.4,50.9,18,19.2,28.2,34.7,29.9,34.1,45.2,53,35.6,31.6,61.9,-10.8,0.271,0.508,0.32,0.402,0.425,0.298,0.726,0.548,0.22,0.917,0.051,0.669,0.197,0.06,0.688,0.866,0.114,0.36
Houston,Amer,2015,NA,NA,32,13,0.40625,100.9,102.3,0.4593,46.5,49.1,20.5,19.9,33.6,33.7,31.5,33.2,45.2,48.4,32,33.7,64.6,-11.6,0.325,0.431,0.518,0.494,0.202,0.526,0.229,0.654,0.734,0.817,0.12,0.746,0.197,0.446,0.222,0.6,0.451,0.314
Memphis,Amer,2015,NA,NA,32,18,0.5625,104.7,95.1,0.7509,48.4,44.4,20.2,19.2,37,31.6,31.6,38.7,48.1,43.8,32.8,30.4,66.6,-5.4,0.631,0.662,0.843,0.785,0.425,0.96,0.283,0.548,0.945,0.568,0.131,0.395,0.565,0.9,0.328,0.952,0.742,0.642
