TEAM,CONF,YEAR,POSTSEASON,SEED,G,W,WIN_PCT,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,TWOP_O,TWOP_D,THREEP_O,THREEP_D,ADJ_T,WAB,WIN_PCT_RANK,ADJOE_RANK,ADJDE_RANK,BARTHAG_RANK,EFG_O_RANK,EFG_D_RANK,TOR_RANK,TORD_RANK,ORB_RANK,DRB_RANK,FTR_RANK,FTRD_RANK,TWOP_O_RANK,TWOP_D_RANK,THREEP_O_RANK,THREEP_D_RANK,ADJ_T_RANK,WAB_RANK
Indiana,B10,2015,R64,10,34,20,0.588235294,119.5,103,0.8473,54.4,50.3,17.2,15.9,35.3,31.5,32.7,32.8,50.2,50.9,40.6,32.5,67.2,-0.3,0.063,0.888,0.096,0.444,0.793,0.064,0.604,0.063,0.777,0.746,0.079,0.572,0.571,0.064,0.984,0.635,0.793,0.301
Purdue,B10,2015,R64,9,34,21,0.617647059,110.5,93.9,0.8654,50.3,45.4,19.9,17.6,36.5,30.9,41.7,38.4,50.9,42.3,32.7,35.1,65,1,0.158,0.476,0.572,0.539,0.444,0.747,0.159,0.269,0.857,0.603,0.761,0.159,0.634,0.889,0.126,0.175,0.539,0.428
Baylor,B12,2015,R64,3,33,23,0.696969697,116.3,92.7,0.9316,49.8,45.8,20.1,19.3,41.9,31.5,38.6,32.1,46.1,46.4,38.2,29.8,62.1,5,0.492,0.809,0.715,0.809,0.349,0.62,0.143,0.539,1,0.746,0.539,0.62,0.079,0.334,0.761,0.985,0.174,0.777
Iowa St.,B12,2015,R64,3,34,25,0.735294118,116.9,95.6,0.9103,54.3,47.6,15.8,18.5,28.3,29.6,36.5,24,54.3,45.2,36.2,34.7,69.8,7,0.65,0.841,0.413,0.682,0.777,0.381,0.889,0.38,0.126,0.38,0.365,0.969,0.888,0.477,0.555,0.223,0.952,0.857
Oklahoma St.,B12,2015,R64,9,31,17,0.548387097,110.7,95.4,0.8469,50.2,46.5,18.5,21.1,26.9,32.6,39,42.1,49.2,44.1,34.6,34.4,64,0.2,0.031,0.507,0.429,0.428,0.428,0.508,0.366,0.793,0.047,0.873,0.619,0.064,0.476,0.588,0.333,0.302,0.396,0.349
Texas,B12,2015,R64,11,34,20,0.588235294,110.3,90.7,0.9048,49.1,42.1,20.1,14,37.9,28.6,36.6,34.8,48.3,37.7,33.8,34.7,62.8,0.9,0.063,0.444,0.842,0.65,0.206,0.985,0.143,0,0.92,0.317,0.38,0.334,0.38,1,0.206,0.223,0.206,0.412
Providence,BE,2015,R64,6,34,22,0.647058824,111.6,93.7,0.8821,48.4,48.2,18.1,19.7,35.2,29,40.7,39.3,48.9,47.1,31.3,33.3,65.7,3.7,0.253,0.555,0.588,0.619,0.126,0.254,0.461,0.587,0.761,0.349,0.714,0.112,0.428,0.286,0.031,0.461,0.634,0.666
St. John's,BE,2015,R64,9,32,20,0.625,110.6,94.7,0.8569,49.3,46.4,15.7,19.5,27.6,35.4,35.7,33.3,48.2,44.9,34.5,32.6,67,2.3,0.206,0.492,0.477,0.492,0.222,0.572,0.937,0.555,0.079,0.984,0.238,0.524,0.349,0.508,0.317,0.604,0.777,0.555
Eastern Washington,BSky,2015,R64,13,32,23,0.71875,110.1,107.6,0.5648,55.1,52.3,15.9,17.8,29.3,30.7,35.2,36,52.2,49.2,39.3,38.7,68.5,-2.6,0.603,0.412,0.032,0.111,0.841,0.032,0.874,0.301,0.174,0.555,0.174,0.27,0.698,0.08,0.92,0,0.888,0.206
Coastal Carolina,BSth,2015,R64,16,30,20,0.666666667,104.5,103,0.5417,50,47.7,17.5,16.9,34.8,28,38.9,35,48.1,45.8,35.9,33.8,64.1,-5.1,0.333,0.158,0.096,0.079,0.38,0.334,0.556,0.158,0.714,0.222,0.587,0.318,0.333,0.397,0.523,0.381,0.428,0.063
