TEAM,CONF,REGION,SEED,SEED_OPP,G,W,WIN_PCT,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,TWOP_O,TWOP_D,THREEP_O,THREEP_D,ADJ_T,WAB,WIN_PCT_RANK,ADJOE_RANK,ADJDE_RANK,BARTHAG_RANK,EFG_O_RANK,EFG_D_RANK,TOR_RANK,TORD_RANK,ORB_RANK,DRB_RANK,FTR_RANK,FTRD_RANK,TWOP_O_RANK,TWOP_D_RANK,THREEP_O_RANK,THREEP_D_RANK,ADJ_T_RANK,WAB_RANK
Colorado,P12,Midwest,8,9,32,21,0.65625,108.9,94.4,0.8376,50.5,46.9,19.2,19.4,30.3,23.9,36.2,26.1,49.1,44.8,35.1,34.2,68.1,0.7,0.238,0.447,0.598,0.432,0.313,0.508,0.239,0.582,0.492,0.134,0.731,0.821,0.208,0.762,0.567,0.105,0.552,0.402
LSU,SEC,South,8,9,31,21,0.677419355,118.2,102.5,0.8373,52.7,49.4,17.6,16.6,35.1,28.5,35.4,26.4,54.7,47.8,32.7,34.5,69.9,0.9,0.313,0.955,0.105,0.417,0.716,0.165,0.642,0.074,0.91,0.746,0.626,0.792,0.895,0.329,0.268,0.06,0.82,0.432
Oklahoma,B12,East,9,8,31,19,0.612903226,108.2,93.4,0.8442,48.2,46.7,16,16.7,23.4,27.4,31.3,19.7,48.6,44.2,31.8,33.6,69.7,2.1,0.059,0.402,0.702,0.507,0.074,0.538,0.851,0.119,0.044,0.582,0.373,1,0.164,0.866,0.149,0.15,0.791,0.567
Saint Mary's,WCC,Midwest,9,8,33,25,0.757575758,114,98.8,0.8385,54.2,50.8,14.9,17.7,25.1,23.6,30.8,28,51.9,50.7,38.8,34,63.8,2.8,0.552,0.791,0.284,0.447,0.865,0.015,0.986,0.283,0.134,0.119,0.283,0.672,0.537,0.075,0.97,0.12,0.089,0.626
USC,P12,West,9,8,31,22,0.709677419,103.6,91.9,0.799,49.5,44.6,20.4,18.1,30.6,27.9,35.4,28,48.1,43.1,35,31.3,69.1,1.8,0.477,0.104,0.866,0.358,0.208,0.941,0.09,0.343,0.507,0.686,0.626,0.672,0.104,0.941,0.537,0.657,0.656,0.537
Arizona St.,P12,South,9,8,31,20,0.64516129,106.1,94.4,0.7942,48.8,49.1,17.9,22.3,26.5,28.6,32.4,34.2,49,48.8,32.3,33.1,73,0.9,0.208,0.223,0.598,0.343,0.134,0.209,0.553,0.88,0.208,0.776,0.477,0.224,0.179,0.209,0.223,0.195,0.985,0.432
Texas Tech,B12,Midwest,10,7,31,18,0.580645161,109.9,91.7,0.8891,51.8,46.3,19.7,23.1,27.9,29.2,34.5,35.4,50.9,46.2,35.6,31,67.2,-0.4,0,0.522,0.896,0.686,0.522,0.672,0.18,0.955,0.268,0.82,0.597,0.135,0.417,0.538,0.701,0.732,0.402,0.298
Rutgers,B10,West,10,7,30,20,0.666666667,107.5,91,0.8711,48.9,45.1,17.9,18.9,32,25.4,29.1,27.5,50.1,43.8,30.8,31.2,67.3,1.6,0.268,0.328,0.941,0.597,0.149,0.881,0.553,0.522,0.656,0.268,0.208,0.702,0.328,0.881,0.089,0.687,0.417,0.522
Marquette,BE,South,10,7,30,18,0.6,113.9,97.4,0.8581,51.6,46.8,18.9,15.1,30,26,39.2,34.9,46.9,46,38.2,32.2,70.8,1.2,0.029,0.776,0.359,0.552,0.432,0.523,0.299,0.014,0.462,0.417,0.88,0.18,0.044,0.568,0.925,0.493,0.895,0.462
Indiana,B10,East,10,7,32,20,0.625,108.1,93.3,0.8444,49.3,47.9,18.3,17.8,32.4,24.5,39.2,32.6,49.5,47.6,32.6,32.2,67.9,1.8,0.119,0.388,0.717,0.522,0.179,0.329,0.374,0.298,0.731,0.179,0.88,0.314,0.223,0.359,0.253,0.493,0.522,0.537
